Periode,Data Lama,Data Baru
1,3980,4516
2,4039,4575
3,3878,4414
4,3809,4345
5,3829,4365
6,3798,4334
7,3730,4266
8,3705,4241
9,3701,4237
10,3782,4318
11,3827,4363
12,3759,4295
13,3747,4283
14,3666,4202
15,3617,4153
16,3638,4174
17,3570,4106
18,3598,4134
19,3481,4017
20,3541,4077
21,3616,4152
22,3489,4025
23,3531,4067
24,3703,4239
25,3688,4224
26,3553,4089
27,3586,4122
28,3630,4166
29,3629,4165
30,3604,4140
31,3658,4194
32,3590,4126
33,3524,4060
34,3923,4459
35,3934,4470
36,3781,4317
37,3749,4285
38,3778,4314
39,3783,4319
40,3696,4232
41,3745,4281
42,3652,4188
43,3649,4185
44,3584,4120
45,3458,3994
46,3404,3940
47,3344,3880
48,3410,3946
49,3316,3852
50,3399,3935
51,3415,3951
52,3460,3996
53,3542,4078
54,3364,3900
55,3633,4169
56,3550,4086
57,3648,4184
58,3584,4120
59,3461,3997
60,3487,4023
61,3421,3957
62,3457,3993
63,3317,3853
64,3254,3790
65,3279,3815
66,3136,3672
67,3127,3663
68,3127,3663
69,3096,3632
70,3128,3664
71,3155,3691
72,3169,3705
73,3114,3650
74,3112,3648
75,3084,3620
76,3027,3563
77,2989,3525
78,2993,3529
79,3096,3632
80,2980,3516
81,3062,3598
82,3011,3547
83,2941,3477
84,2774,3310
85,2697,3233
86,2670,3206
87,2488,3024
88,2472,3008
89,2322,2858
90,2343,2879
91,2525,3061
92,2554,3090
93,2729,3265
94,2605,3141
95,2678,3214
96,2713,3249
97,2503,3039
98,2382,2918
99,2554,3090
100,2499,3035
101,2550,3086
102,2472,3008
103,2448,2984
104,2477,3013
105,2477,3013
106,2431,2967
107,2532,3068
108,2425,2961
109,2567,3103
110,2684,3220
111,2626,3162
112,2643,3179
113,2621,3157
114,2550,3086
115,2446,2982
116,2519,3055
117,2616,3152
118,2463,2999
119,2484,3020
120,2355,2891
121,2356,2892
122,2302,2838
123,2272,2808
124,2324,2860
125,2269,2805
126,2299,2835
127,2284,2820
128,2279,2815
129,2326,2862
130,2351,2887
131,2335,2871
132,2360,2896
133,2269,2805
134,2275,2811
135,2226,2762
136,2208,2744
137,2191,2727
138,2149,2685
139,2126,2662
140,2152,2688
141,2187,2723
142,2141,2677
143,2089,2625
144,2107,2643
145,2031,2567
146,1984,2520
147,1983,2519
148,1981,2517
149,2016,2552
150,1951,2487
151,1951,2487
