,Tanggal,Minimum Ketinggian Air Laut
0,2021-01-01,148.0
1,2021-01-02,136.0
2,2021-01-03,156.0
3,2021-01-04,156.0
4,2021-01-05,158.0
5,2021-01-06,166.0
6,2021-01-07,170.0
7,2021-01-08,168.0
8,2021-01-09,142.0
9,2021-01-10,153.0
10,2021-01-11,146.0
11,2021-01-12,153.0
12,2021-01-13,136.0
13,2021-01-14,151.0
14,2021-01-15,152.0
15,2021-01-16,160.0
16,2021-01-17,157.0
17,2021-01-18,160.0
18,2021-01-19,162.0
19,2021-01-20,153.0
20,2021-01-21,160.0
21,2021-01-22,157.0
22,2021-01-23,161.0
23,2021-01-24,145.0
24,2021-01-25,145.0
25,2021-01-26,136.0
26,2021-01-27,129.0
27,2021-01-28,135.0
28,2021-01-29,143.0
29,2021-01-30,146.0
30,2021-01-31,151.0
31,2021-02-01,154.0
32,2021-02-02,159.0
33,2021-02-03,149.0
34,2021-02-04,158.5
35,2021-02-05,158.0
36,2021-02-06,159.0
37,2021-02-07,157.0
38,2021-02-08,156.0
39,2021-02-09,155.0
40,2021-02-10,144.0
41,2021-02-11,144.0
42,2021-02-12,146.0
43,2021-02-13,152.0
44,2021-02-14,156.0
45,2021-02-15,163.0
46,2021-02-16,164.0
47,2021-02-17,158.0
48,2021-02-18,162.0
49,2021-02-19,153.0
50,2021-02-20,172.0
51,2021-02-21,156.5
52,2021-02-22,150.0
53,2021-02-23,142.5
54,2021-02-24,141.0
55,2021-02-25,146.0
56,2021-02-26,155.0
57,2021-02-27,145.0
58,2021-02-28,156.0
59,2021-03-01,167.0
60,2021-03-02,167.0
61,2021-03-03,159.0
62,2021-03-04,169.0
63,2021-03-05,160.0
64,2021-03-06,152.0
65,2021-03-07,147.0
66,2021-03-08,132.0
67,2021-03-09,139.0
68,2021-03-10,144.0
69,2021-03-11,146.0
70,2021-03-12,139.0
71,2021-03-13,155.0
72,2021-03-14,159.0
73,2021-03-15,157.0
74,2021-03-16,163.0
75,2021-03-17,159.0
76,2021-03-18,162.8
77,2021-03-19,149.0
78,2021-03-20,149.0
79,2021-03-21,137.0
80,2021-03-22,141.0
81,2021-03-23,133.0
82,2021-03-24,131.5
83,2021-03-25,143.0
84,2021-03-26,142.5
85,2021-03-27,156.0
86,2021-03-28,153.0
87,2021-03-29,168.0
88,2021-03-30,160.0
89,2021-03-31,151.0
90,2021-04-01,136.0
91,2021-04-02,122.0
92,2021-04-03,137.0
93,2021-04-04,128.0
94,2021-04-05,126.0
95,2021-04-06,132.0
96,2021-04-07,133.0
97,2021-04-08,143.0
98,2021-04-09,145.0
99,2021-04-10,161.0
100,2021-04-11,169.0
101,2021-04-12,168.0
102,2021-04-13,161.0
103,2021-04-14,160.0
104,2021-04-15,157.0
105,2021-04-16,157.0
106,2021-04-17,156.0
107,2021-04-18,152.0
108,2021-04-19,154.0
109,2021-04-20,146.0
110,2021-04-21,149.0
111,2021-04-22,152.0
112,2021-04-23,165.0
113,2021-04-24,170.0
114,2021-04-25,188.0
115,2021-04-26,174.0
116,2021-04-27,179.0
117,2021-04-28,170.0
118,2021-04-29,153.0
119,2021-04-30,148.0
120,2021-05-01,140.0
121,2021-05-02,148.0
122,2021-05-03,146.0
123,2021-05-04,146.0
124,2021-05-05,149.0
125,2021-05-06,156.0
126,2021-05-07,158.0
127,2021-05-08,163.0
128,2021-05-09,168.0
129,2021-05-10,158.0
130,2021-05-11,161.0
131,2021-05-12,161.0
132,2021-05-13,162.0
133,2021-05-14,154.0
134,2021-05-15,147.0
135,2021-05-16,150.0
136,2021-05-17,146.0
137,2021-05-18,145.0
138,2021-05-19,144.0
139,2021-05-20,145.0
140,2021-05-21,150.0
141,2021-05-22,160.0
142,2021-05-23,163.0
143,2021-05-24,166.0
144,2021-05-25,155.0
145,2021-05-26,139.0
146,2021-05-27,146.0
147,2021-05-28,133.0
148,2021-05-29,131.0
149,2021-05-30,127.0
150,2021-05-31,135.0
151,2021-06-01,134.0
152,2021-06-02,150.0
153,2021-06-03,160.0
154,2021-06-04,174.0
155,2021-06-05,176.0
156,2021-06-06,169.0
157,2021-06-07,161.0
158,2021-06-08,156.0
159,2021-06-09,152.0
160,2021-06-10,151.0
161,2021-06-11,149.5
162,2021-06-12,147.0
163,2021-06-13,157.0
164,2021-06-14,155.0
165,2021-06-15,154.0
166,2021-06-16,151.0
167,2021-06-17,159.0
168,2021-06-18,163.0
169,2021-06-19,160.0
170,2021-06-20,171.0
171,2021-06-21,162.0
172,2021-06-22,152.0
173,2021-06-23,153.0
174,2021-06-24,147.0
175,2021-06-25,131.0
176,2021-06-26,139.0
177,2021-06-27,142.0
178,2021-06-28,147.0
179,2021-06-29,154.0
180,2021-06-30,161.0
181,2021-07-01,166.0
182,2021-07-02,174.0
183,2021-07-03,180.0
184,2021-07-04,159.0
185,2021-07-05,158.0
186,2021-07-06,153.5
187,2021-07-07,147.0
188,2021-07-08,150.0
189,2021-07-09,139.0
190,2021-07-10,155.0
191,2021-07-11,161.0
192,2021-07-12,156.0
193,2021-07-13,156.0
194,2021-07-14,149.0
195,2021-07-15,151.0
196,2021-07-16,172.0
197,2021-07-17,175.0
198,2021-07-18,170.0
199,2021-07-19,160.66666666666666
200,2021-07-20,152.0
201,2021-07-21,147.0
202,2021-07-22,138.0
203,2021-07-23,146.0
204,2021-07-24,141.0
205,2021-07-25,140.0
206,2021-07-26,157.0
207,2021-07-27,153.0
208,2021-07-28,158.0
209,2021-07-29,167.0
210,2021-07-30,167.0
211,2021-07-31,161.0
212,2021-08-01,157.0
213,2021-08-02,156.0
214,2021-08-03,144.0
215,2021-08-04,141.0
216,2021-08-05,139.0
217,2021-08-06,142.0
218,2021-08-07,149.0
219,2021-08-08,147.0
220,2021-08-09,106.0
221,2021-08-10,162.0
222,2021-08-11,165.0
223,2021-08-12,171.0
224,2021-08-13,174.0
225,2021-08-14,169.0
226,2021-08-15,170.0
227,2021-08-16,160.0
228,2021-08-17,149.0
229,2021-08-18,131.0
230,2021-08-19,132.0
231,2021-08-20,131.0
232,2021-08-21,136.0
233,2021-08-22,137.0
234,2021-08-23,145.0
235,2021-08-24,157.0
236,2021-08-25,159.0
237,2021-08-26,168.0
238,2021-08-27,169.0
239,2021-08-28,166.0
240,2021-08-29,161.0
241,2021-08-30,154.0
242,2021-08-31,146.0
243,2021-09-01,144.0
244,2021-09-02,142.0
245,2021-09-03,142.0
246,2021-09-04,141.0
247,2021-09-05,144.0
248,2021-09-06,153.0
249,2021-09-07,150.0
250,2021-09-08,159.0
251,2021-09-09,161.0
252,2021-09-10,170.0
253,2021-09-11,165.0
254,2021-09-12,157.0
255,2021-09-13,149.0
256,2021-09-14,141.0
257,2021-09-15,133.0
258,2021-09-16,130.0
259,2021-09-17,136.0
260,2021-09-18,149.0
261,2021-09-19,151.0
262,2021-09-20,151.0
263,2021-09-21,152.0
264,2021-09-22,174.0
265,2021-09-23,173.0
266,2021-09-24,169.0
267,2021-09-25,158.0
268,2021-09-26,159.0
269,2021-09-27,145.0
270,2021-09-28,151.0
271,2021-09-29,150.0
272,2021-09-30,144.0
273,2021-10-01,144.0
274,2021-10-02,135.0
275,2021-10-03,148.0
276,2021-10-04,150.0
277,2021-10-05,152.0
278,2021-10-06,162.0
279,2021-10-07,160.0
280,2021-10-08,153.0
281,2021-10-09,150.0
282,2021-10-10,156.0
283,2021-10-11,140.0
284,2021-10-12,131.0
285,2021-10-13,138.0
286,2021-10-14,132.0
287,2021-10-15,137.0
288,2021-10-16,148.0
289,2021-10-17,154.0
290,2021-10-18,166.0
291,2021-10-19,153.0
292,2021-10-20,154.0
293,2021-10-21,160.0
294,2021-10-22,158.0
295,2021-10-23,154.0
296,2021-10-24,150.0
297,2021-10-25,148.0
298,2021-10-26,144.0
299,2021-10-27,154.0
300,2021-10-28,148.0
301,2021-10-29,154.0
302,2021-10-30,147.0
303,2021-10-31,149.0
304,2021-11-01,156.0
305,2021-11-02,163.0
306,2021-11-03,173.0
307,2021-11-04,163.0
308,2021-11-05,160.0
309,2021-11-06,147.0
310,2021-11-07,150.0
311,2021-11-08,149.0
312,2021-11-09,147.0
313,2021-11-10,147.0
314,2021-11-11,141.0
315,2021-11-12,142.0
316,2021-11-13,160.0
317,2021-11-14,166.0
318,2021-11-15,162.0
319,2021-11-16,167.0
320,2021-11-17,166.0
321,2021-11-18,151.0
322,2021-11-19,151.0
323,2021-11-20,146.0
324,2021-11-21,148.0
325,2021-11-22,141.0
326,2021-11-23,129.0
327,2021-11-24,128.0
328,2021-11-25,138.0
329,2021-11-26,144.0
330,2021-11-27,145.0
331,2021-11-28,143.0
332,2021-11-29,146.0
333,2021-11-30,167.0
334,2021-12-01,166.0
335,2021-12-02,169.0
336,2021-12-03,150.0
337,2021-12-04,135.0
338,2021-12-05,124.0
339,2021-12-06,123.0
340,2021-12-07,137.0
341,2021-12-08,143.0
342,2021-12-09,140.0
343,2021-12-10,145.0
344,2021-12-11,147.0
345,2021-12-12,154.0
346,2021-12-13,167.0
347,2021-12-14,160.0
348,2021-12-15,160.0
349,2021-12-16,148.0
350,2021-12-17,147.0
351,2021-12-18,146.0
352,2021-12-19,140.0
353,2021-12-20,138.0
354,2021-12-21,144.0
355,2021-12-22,147.0
356,2021-12-23,145.0
357,2021-12-24,143.0
358,2021-12-25,152.0
359,2021-12-26,150.0
360,2021-12-27,149.0
361,2021-12-28,155.0
362,2021-12-29,164.0
363,2021-12-30,159.0
364,2021-12-31,151.0
365,2022-01-01,152.0
366,2022-01-02,141.0
367,2022-01-03,137.0
368,2022-01-04,142.0
369,2022-01-05,153.0
370,2022-01-06,147.0
371,2022-01-07,146.0
372,2022-01-08,161.0
373,2022-01-09,158.0
374,2022-01-10,159.0
375,2022-01-11,150.0
376,2022-01-12,146.0
377,2022-01-13,140.0
378,2022-01-14,139.0
379,2022-01-15,137.0
380,2022-01-16,142.0
381,2022-01-17,143.0
382,2022-01-18,152.0
383,2022-01-19,135.0
384,2022-01-20,134.0
385,2022-01-21,151.0
386,2022-01-22,149.0
387,2022-01-23,151.0
388,2022-01-24,148.0
389,2022-01-25,150.0
390,2022-01-26,146.0
391,2022-01-27,138.0
392,2022-01-28,134.0
393,2022-01-29,127.0
394,2022-01-30,125.0
395,2022-01-31,126.0
396,2022-02-01,135.0
397,2022-02-02,137.0
398,2022-02-03,144.0
399,2022-02-04,153.0
400,2022-02-05,154.0
401,2022-02-06,162.0
402,2022-02-07,155.0
403,2022-02-08,153.0
404,2022-02-09,154.0
405,2022-02-10,147.0
406,2022-02-11,133.0
407,2022-02-12,139.0
408,2022-02-13,147.0
409,2022-02-14,146.0
410,2022-02-15,154.0
411,2022-02-16,160.0
412,2022-02-17,167.0
413,2022-02-18,158.0
414,2022-02-19,171.0
415,2022-02-20,159.0
416,2022-02-21,170.0
417,2022-02-22,162.0
418,2022-02-23,158.0
419,2022-02-24,153.0
420,2022-02-25,137.0
421,2022-02-26,134.0
422,2022-02-27,137.0
423,2022-02-28,132.0
424,2022-03-01,129.0
425,2022-03-02,124.0
426,2022-03-03,139.0
427,2022-03-04,152.0
428,2022-03-05,159.0
429,2022-03-06,159.0
430,2022-03-07,162.0
431,2022-03-08,160.0
432,2022-03-09,159.0
433,2022-03-10,154.0
434,2022-03-11,137.0
435,2022-03-12,134.0
436,2022-03-13,166.0
437,2022-03-14,106.0
438,2022-03-15,143.0
439,2022-03-16,159.0
440,2022-03-17,150.0
