,Tanggal,Rataan Ketinggian Air Laut
0,2021-01-01,186.125
1,2021-01-02,183.0625
2,2021-01-03,186.58333333333334
3,2021-01-04,191.54166666666666
4,2021-01-05,184.66666666666666
5,2021-01-06,187.33333333333334
6,2021-01-07,193.04166666666666
7,2021-01-08,187.85416666666666
8,2021-01-09,187.95833333333334
9,2021-01-10,182.66666666666666
10,2021-01-11,183.42708333333334
11,2021-01-12,184.04166666666666
12,2021-01-13,185.125
13,2021-01-14,188.16666666666666
14,2021-01-15,179.625
15,2021-01-16,192.5
16,2021-01-17,186.5
17,2021-01-18,174.25
18,2021-01-19,178.83333333333334
19,2021-01-20,175.45833333333334
20,2021-01-21,179.45833333333334
21,2021-01-22,171.16666666666666
22,2021-01-23,176.45833333333334
23,2021-01-24,173.5
24,2021-01-25,181.04166666666666
25,2021-01-26,173.875
26,2021-01-27,154.95833333333334
27,2021-01-28,158.375
28,2021-01-29,169.70833333333334
29,2021-01-30,167.20833333333334
30,2021-01-31,165.875
31,2021-02-01,171.35416666666666
32,2021-02-02,175.83333333333334
33,2021-02-03,170.02083333333334
34,2021-02-04,169.14583333333334
35,2021-02-05,172.0
36,2021-02-06,171.25
37,2021-02-07,190.97222222222226
38,2021-02-08,176.66666666666666
39,2021-02-09,186.83333333333334
40,2021-02-10,187.47916666666666
41,2021-02-11,180.625
42,2021-02-12,182.875
43,2021-02-13,182.89583333333334
44,2021-02-14,186.27083333333334
45,2021-02-15,185.75
46,2021-02-16,188.01388888888889
47,2021-02-17,183.14583333333334
48,2021-02-18,185.08333333333334
49,2021-02-19,181.79166666666666
50,2021-02-20,189.72916666666666
51,2021-02-21,183.125
52,2021-02-22,181.5
53,2021-02-23,181.47916666666666
54,2021-02-24,169.60416666666666
55,2021-02-25,176.89583333333334
56,2021-02-26,187.25
57,2021-02-27,178.72916666666666
58,2021-02-28,187.83333333333334
59,2021-03-01,189.58333333333334
60,2021-03-02,188.79166666666666
61,2021-03-03,188.4375
62,2021-03-04,186.625
63,2021-03-05,185.39583333333334
64,2021-03-06,189.29166666666666
65,2021-03-07,186.64583333333334
66,2021-03-08,173.625
67,2021-03-09,180.20833333333334
68,2021-03-10,179.75
69,2021-03-11,178.83333333333334
70,2021-03-12,171.70833333333334
71,2021-03-13,178.9375
72,2021-03-14,179.25
73,2021-03-15,179.91666666666666
74,2021-03-16,181.66666666666666
75,2021-03-17,181.02083333333334
76,2021-03-18,185.49166666666667
77,2021-03-19,180.875
78,2021-03-20,178.5
79,2021-03-21,175.16666666666666
80,2021-03-22,176.125
81,2021-03-23,174.875
82,2021-03-24,172.91666666666666
83,2021-03-25,175.60416666666666
84,2021-03-26,177.5625
85,2021-03-27,187.29166666666666
86,2021-03-28,185.14583333333334
87,2021-03-29,187.97916666666666
88,2021-03-30,184.58333333333334
89,2021-03-31,181.54166666666666
90,2021-04-01,172.91666666666666
91,2021-04-02,171.91666666666666
92,2021-04-03,181.72083333333333
93,2021-04-04,179.35416666666666
94,2021-04-05,181.66666666666666
95,2021-04-06,179.25
96,2021-04-07,169.90625
97,2021-04-08,173.5173611111111
98,2021-04-09,176.17916666666667
99,2021-04-10,187.60416666666666
100,2021-04-11,186.20833333333334
101,2021-04-12,190.52083333333334
102,2021-04-13,181.60416666666666
103,2021-04-14,187.29583333333335
104,2021-04-15,184.70833333333334
105,2021-04-16,187.5
106,2021-04-17,189.85416666666666
107,2021-04-18,188.80208333333334
108,2021-04-19,187.08333333333334
109,2021-04-20,191.875
110,2021-04-21,194.1875
111,2021-04-22,194.02083333333334
112,2021-04-23,195.625
113,2021-04-24,189.25
114,2021-04-25,188.0
115,2021-04-26,195.95833333333334
116,2021-04-27,203.08333333333334
117,2021-04-28,196.625
118,2021-04-29,186.10416666666666
119,2021-04-30,191.5625
120,2021-05-01,185.75
121,2021-05-02,189.0
122,2021-05-03,192.79166666666666
123,2021-05-04,190.97916666666666
124,2021-05-05,187.85416666666666
125,2021-05-06,185.66666666666666
126,2021-05-07,180.875
127,2021-05-08,181.70833333333334
128,2021-05-09,186.33333333333334
129,2021-05-10,181.45833333333334
130,2021-05-11,189.125
131,2021-05-12,187.45833333333334
132,2021-05-13,196.0
133,2021-05-14,189.29166666666666
134,2021-05-15,184.91666666666666
135,2021-05-16,186.85416666666666
136,2021-05-17,185.95833333333334
137,2021-05-18,181.04166666666666
138,2021-05-19,183.70833333333334
139,2021-05-20,179.91666666666666
140,2021-05-21,181.08333333333334
141,2021-05-22,185.33333333333334
142,2021-05-23,179.16666666666666
143,2021-05-24,183.4375
144,2021-05-25,182.33333333333334
145,2021-05-26,189.5
146,2021-05-27,191.75
147,2021-05-28,185.04166666666666
148,2021-05-29,182.33333333333334
149,2021-05-30,177.04166666666666
150,2021-05-31,181.04166666666666
151,2021-06-01,179.875
152,2021-06-02,186.375
153,2021-06-03,189.91666666666666
154,2021-06-04,192.08333333333334
155,2021-06-05,192.375
156,2021-06-06,191.83333333333334
157,2021-06-07,185.16666666666666
158,2021-06-08,184.70833333333334
159,2021-06-09,186.875
160,2021-06-10,190.70833333333334
161,2021-06-11,190.47916666666666
162,2021-06-12,188.75
163,2021-06-13,195.8125
164,2021-06-14,191.0
165,2021-06-15,192.5
166,2021-06-16,187.45833333333334
167,2021-06-17,188.79166666666666
168,2021-06-18,186.1875
169,2021-06-19,191.70833333333334
170,2021-06-20,190.06944444444443
171,2021-06-21,183.25
172,2021-06-22,190.95833333333334
173,2021-06-23,195.79166666666666
174,2021-06-24,190.75
175,2021-06-25,186.125
176,2021-06-26,191.1875
177,2021-06-27,189.5
178,2021-06-28,188.29166666666666
179,2021-06-29,192.25
180,2021-06-30,191.83333333333334
181,2021-07-01,188.375
182,2021-07-02,192.64583333333334
183,2021-07-03,193.29166666666666
184,2021-07-04,190.45833333333334
185,2021-07-05,188.1875
186,2021-07-06,188.60416666666666
187,2021-07-07,188.58333333333334
188,2021-07-08,187.70833333333334
189,2021-07-09,185.39583333333334
190,2021-07-10,196.5
191,2021-07-11,197.54166666666666
192,2021-07-12,195.41666666666666
193,2021-07-13,189.29166666666666
194,2021-07-14,182.04166666666666
195,2021-07-15,184.89583333333334
196,2021-07-16,195.83333333333334
197,2021-07-17,190.875
198,2021-07-18,192.45833333333334
199,2021-07-19,194.27777777777774
200,2021-07-20,191.25
201,2021-07-21,191.3125
202,2021-07-22,184.5
203,2021-07-23,187.875
204,2021-07-24,186.25
205,2021-07-25,182.6875
206,2021-07-26,193.875
207,2021-07-27,186.58333333333334
208,2021-07-28,189.6875
209,2021-07-29,185.0
210,2021-07-30,186.7361111111111
211,2021-07-31,187.72916666666666
212,2021-08-01,186.16666666666666
213,2021-08-02,184.66666666666666
214,2021-08-03,181.41666666666666
215,2021-08-04,183.5
216,2021-08-05,177.75
