Hari,Data
1,132.045
2,131.78
3,130.28
4,130.535
5,129.96
6,130.12
7,129.36
8,128.65
9,127.8
10,127.42
11,128.88
12,128.59
13,127.17
14,126.92
15,127.6
16,127.3
17,127.88
18,126.6
19,127.61
20,127.03
21,128.11
22,127.5
23,126.75
24,124.53
25,125.425
26,126.6
27,126.44
28,126
29,125.69
30,122.57
31,120.07
32,123.28
33,125.66
34,125.61
35,126.82
36,128.51
37,129.62
38,132.07
39,130.75
40,125.22
41,125.16
42,124.5
43,122.77
44,123.38
45,122.99
46,122.37
47,121.3
48,118.44
49,114.64
50,115.4
51,115.13
52,115.52
53,119.72
54,113.49
55,115.24
56,115.15
57,115.96
58,117.16
59,116.5
60,115.01
61,112.65
62,105.76
63,103.12
64,103.74
65,109.69
66,112.92
67,113.29
68,112.76
69,107.72
70,112.34
71,110.37
72,109.27
73,112.31
74,110.15
75,112.57
76,114.21
77,115.31
78,116.28
79,116.41
80,113.92
81,113.45
82,115.21
83,113.4
84,114.32
85,115
86,114.71
87,112.44
88,109.06
89,110.3
90,109.58
91,110.38
92,110.78
93,111.31
94,110.78
95,109.5
96,112.12
97,111.6
98,111.79
99,110.21
100,111.86
101,111.04
102,111.73
103,113.77
104,113.76
105,115.5
106,119.08
107,115.28
108,114.55
109,119.27
110,120.53
111,119.5
112,121.18
113,122.57
114,122
115,120.92
116,121.06
117,120.57
118,116.77
119,116.11
120,115.72
121,112.34
122,114.175
123,113.69
124,117.29
125,118.78
126,119.3
127,117.75
128,118.88
129,118.03
130,117.81
131,118.3
132,117.34
133,116.28
134,115.2
135,119.03
136,118.28
137,118.23
138,115.62
139,116.17
140,113.18
141,112.48
142,110.49
143,111.34
144,108.98
145,106.03
146,107.33
147,107.23
148,108.61
149,108.03
150,106.82
151,108.74
152,107.32
153,105.26
154,105.35
155,102.71
156,100.7
157,96.45
158,96.96
159,98.53
160,99.96
161,97.39
162,99.52
163,97.13
164,96.66
165,96.79
166,96.3
167,101.42
168,99.44
169,99.99
170,93.42
171,94.09
172,97.34
173,96.43
174,94.48
175,96.35
176,96.6
177,94.02
178,95.01
179,94.99
180,94.27
181,93.7
182,93.99
183,96.64
184,98.12
185,96.26
186,96.04
187,96.88
188,94.69
189,96.1
190,96.76
191,96.91
192,96.69
193,100.53
194,100.75
195,101.5
196,103.01
197,101.87
198,101.03
199,101.12
200,101.17
201,102.26
202,102.52
203,104.58
204,105.97
205,105.8
206,105.92
207,105.91
208,106.72
209,106.13
210,105.67
211,105.19
212,107.68
213,109.56
214,108.99
215,109.99
216,111.12
217,109.81
218,110.96
219,108.54
220,108.66
221,109.02
222,110.44
223,112.04
224,112.1
225,109.85
226,107.48
227,106.91
228,107.13
229,105.97
230,105.68
231,105.08
232,104.35
233,97.82
234,94.83
235,93.74
236,93.64
237,95.18
238,94.19
239,93.24
240,92.72
241,92.79
242,93.42
243,92.51
244,90.34
245,90.52
246,93.88
247,93.49
248,94.56
249,94.2
250,95.22
251,96.43
252,97.9
253,99.62
254,100.41
255,100.35
256,99.86
257,98.46
258,97.72
259,97.92
260,98.63
261,99.03
262,98.94
263,99.65
264,98.83
265,97.34
266,97.46
267,97.14
268,97.55
269,95.33
270,95.1
271,95.91
272,95.55
273,96.1
274,93.4
275,92.04
276,93.59
277,94.4
278,95.6
279,95.89
280,94.99
281,95.53
282,95.94
283,96.68
284,96.98
285,97.42
286,96.87
287,98.79
288,98.78
289,99.83
290,99.87
291,99.96
292,99.43
293,98.66
294,97.34
295,96.67
296,102.95
297,104.34
298,104.21
299,106.05
300,104.48
301,105.79
302,105.87
303,107.48
304,108.37
305,108.81
306,108
307,107.93
308,108.18
309,109.48
310,109.38
311,109.22
312,109.08
313,109.36
314,108.51
315,108.85
316,108.03
317,107.57
318,106.94
319,106.82
320,106
321,106.1
322,106.73
323,107.73
324,107.7
325,108.36
326,105.52
327,103.13
328,105.44
329,107.95
330,111.77
331,115.57
332,114.92
333,113.58
334,113.57
335,113.55
336,114.62
337,112.71
338,112.88
339,113.09
340,113.95
341,112.18
342,113.05
343,112.52
344,113
345,113.05
346,113.89
347,114.06
348,116.05
349,116.3
350,117.34
351,116.98
352,117.63
353,117.55
354,117.47
355,117.12
356,117.06
357,116.6
358,117.65
359,118.25
360,115.59
361,114.48
362,113.72
363,113.54
364,111.49
365,111.59
366,109.83
367,108.84
368,110.41
369,111.06
370,110.88
371,107.79
372,108.43
373,105.71
374,107.11
375,109.99
376,109.95
377,110.06
378,111.73
379,111.8
380,111.23
381,111.79
382,111.57
383,111.46
384,110.52
385,109.49
386,109.9
387,109.11
388,109.95
389,111.03
390,112.12
391,113.95
392,113.3
